Weblink_to_slide_at_NHMUK_Data_Portal,IRN,ZF_PF_no.,Slide_square_no.,Genus,cf.,Species,Sub_species,Notes_on_slides,Geologic_time,Grade,No_of_individuals,Observations_M.C.Rillo.2015,Buckley_Slide_SL_no.,Former_Museum_no.,IRN_Residue_OBD,Vessel,Station_no.,Collection_date,Collection_info,Sea_Depth_meters_NOAA,Sea_Depth_meters,Sea_Depth_fathoms,Sea_Depth_feet,Tow,Sample_depth_min_cm,Sample_depth_max_cm,Lat.decimal,Long.decimal,Lat.degrees,Lat.minutes,Lat.seconds,Lat.N.S,Long.degrees,Long.minutes,Long.seconds,Long.W.E,Ocean_Sea
http://data.nhm.ac.uk/object/ba093d82-2a55-46d6-b136-e25d5b135df3,5271483,5778,,Globorotalia,,menardii,,,,,18,,705,M.284,33668,HMS Challenger,220,11/03/1875,,-2213,2012,1100,6600,0,,,-0.7,147,0,42,0,S,147,0,0,E,Pacific ocean
http://data.nhm.ac.uk/object/c26ba8b2-48b9-46a4-a8a9-f19cad40fe8a,5271484,5779,,Globorotalia,,menardii,,,,,13,,722,M.5987,36515,HMS Penguin,,05/05/1897,,-4057,4188,2290,13740,0,,,-9.68333,-174.625,9,41,0,S,174,37,30,W,Pacific ocean
http://data.nhm.ac.uk/object/a2b3c302-2a50-4dd1-be15-3789c13f589c,5271485,5780,,Globorotalia,,menardii,,,,,5,,735,M.7037,36683,HMS Penguin,,06/09/1897,,-4634,4243,2320,13920,0,,,1.21333,-161.83667,1,12,48,N,161,50,12,W,Pacific ocean
http://data.nhm.ac.uk/object/d5e6b9ec-c4d1-493c-9278-23eef4df485b,5271486,5781,,Globorotalia,,menardii,,,,,17,"Slide: 21/05/1898, Long 178 52 E",745,M.5840,36361,HMS Penguin,3,21/05/1896,,-4844,4965,2715,16290,0,,,-10.21472,178.01444,10,12,53,S,178,0,52,E,Pacific ocean
http://data.nhm.ac.uk/object/45293b45-1369-4be2-aef6-6e1174f26665,5271487,5782,,Globorotalia,,menardii,,,,,17,Slide: Long 145 41 3 W,763,M.7059,36704,HMS Penguin,723,20/09/1897,,-3952,4071,2226,13356,0,,,-13.17167,-175.68833,13,10,18,S,175,41,18,W,Pacific ocean
http://data.nhm.ac.uk/object/6168397c-e253-41ab-ad9a-c026a5c0c6b1,5271489,5783,,Globorotalia,,menardii,,,,,24,,790,M.4080,34993,HMS Egeria,,26/08/1889,,-2519,2579,1410,8460,0,,,-15.65,-179.0625,15,39,0,S,179,3,45,W,Pacific ocean
http://data.nhm.ac.uk/object/ae3b763a-7810-4791-b5b2-a019acf65dbf,5271490,5784,,Globorotalia,,menardii,,,,,31,Sample depth: 20-23?,812,"1965,O37",17338,RV Vema,V 14-100,25/05/58,,-3663,3910,2138,12828,0,22,23,3.86667,65.51667,3,52,0,N,65,31,0,E,Indian ocean
http://data.nhm.ac.uk/object/5709eac2-68e5-41e9-9fae-6d2ec7beb731,5271491,5785,,Globorotalia,,menardii,,,Pleistocene G-M,,35,,875,"1965,O38",17348,RV Vema,V 12-5,26/12/56,,-3182,3000,1640,9840,0,205,208,21.2,-45.35,21,12,0,N,45,21,0,W,Atlantic ocean
http://data.nhm.ac.uk/object/e332c5c4-2719-4764-a4e8-da921ce7a8a5,5271492,5786,,Globorotalia,,menardii,,,Pleistocene Gunz,,19,,884,"1965,O38",17348,RV Vema,V 12-5,26/12/56,,-3182,3000,1640,9840,0,545,548,21.2,-45.35,21,12,0,N,45,21,0,W,Atlantic ocean
http://data.nhm.ac.uk/object/b7ea9bb3-eaf4-4faa-9924-b11f9320049e,5271493,5787,,Globorotalia,,menardii - tumida,,,Pliocene,,11,,906,"1965,O38",17348,RV Vema,V 12-5,26/12/56,,-3182,3000,1640,9840,0,625,628,21.2,-45.35,21,12,0,N,45,21,0,W,Atlantic ocean
http://data.nhm.ac.uk/object/d6eaa8c4-2ff2-409a-aa70-cb667671ef29,5271494,5788,,Globorotalia,,menardii,,,Pleistocene Gunz,,18,Sample depth: 5-8?,944,"1965,O39",17359,RV Vema,V 15-164,03/05/59,,-4123,3380,1848,11088,0,5,6,-9.75,-34.4,9,45,0,S,34,24,0,W,Atlantic ocean near Brazil
