"lat","long","Sample_depth_min_cm","Sample_depth_max_cm","sample_type","Sea_Depth_meters_NOAA","Ocean","OBD_IRN","adamsi","bulloides","calida","conglobatus","conglomerata","crassaformis","dehiscens","digitata","dutertrei","falconensis","hexagona","hirsuta","humilis","inflata","menardii","obliquiloculata","pachyderma","quinqueloba","ruber","rubescens","sacculifera","scitula","siphonifera","tenellus","trilobus","truncatulinoides","tumida","universa","glutinata","iota","nitida","pelagica","uvula","various","ssp_richness","total_idind","total_ind"
26.7,-39.38333,"500","500","deep_core",-4741,"Atlantic ocean",18560,0,0,0,9,0,0,0,0,0,0,0,5,0,0,43,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1776,6,78,1854
26.7,-39.38333,"480","480","deep_core",-4741,"Atlantic ocean",18560,0,0,0,9,0,0,0,0,0,0,0,5,0,0,43,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1776,6,78,1854
26.7,-39.38333,"465","465","deep_core",-4741,"Atlantic ocean",18560,0,0,0,9,0,0,0,0,0,0,0,5,0,0,43,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1776,6,78,1854
26.7,-39.38333,"430","430","deep_core",-4741,"Atlantic ocean",18560,0,0,0,9,0,0,0,0,0,0,0,5,0,0,43,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1776,6,78,1854
26.7,-39.38333,"300","300","deep_core",-4741,"Atlantic ocean",18560,0,0,0,9,0,0,0,0,0,0,0,5,0,0,43,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1776,6,78,1854
26.7,-39.38333,"200","200","deep_core",-4741,"Atlantic ocean",18560,0,0,0,9,0,0,0,0,0,0,0,5,0,0,43,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1776,6,78,1854
26.7,-39.38333,"145","145","deep_core",-4741,"Atlantic ocean",18560,0,0,0,9,0,0,0,0,0,0,0,5,0,0,43,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1776,6,78,1854
26.7,-39.38333,"80","80","deep_core",-4741,"Atlantic ocean",18560,0,0,0,9,0,0,0,0,0,0,0,5,0,0,43,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1776,6,78,1854
26.7,-39.38333,"580","580","deep_core",-4741,"Atlantic ocean",18560,0,0,0,9,0,0,0,0,0,0,0,5,0,0,43,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1776,6,78,1854
28.4,-77.93333,"500","500","deep_core",-1004,"Atlantic ocean near coast",17162,0,0,0,10,0,0,2,0,0,0,0,9,0,24,17,8,0,0,34,0,26,0,0,0,0,21,0,0,0,0,2,0,0,94,10,153,247
