IRN,BM no.: (Registration)/BM Number: (BM Number),Quantity: (Sample Information),Object
11881,"BM.1980,O92",,"BM.1980,O92, 44, HMS Hydra, 04/06/1980, 55 23  N; 8 16 22 W; Northeast Atlantic Ocean, underway sampler"
20703,"BM.1975,O227",,"BM.1975,O227, C 13, Jalanidhi, 16/04/1971, 3 51 20 N; 103 50 30 E; Western Central Pacific Ocean, Gravity corer"
20704,"BM.1975,O23",,"BM.1975,O23, 289, RRS Shackleton, /09/1972, 35 32  N; 33 55  E; Eastern Central Atlantic Ocean, Shipek grab"
20705,"BM.1975,O24",,"BM.1975,O24, 294, RRS Shackleton, /09/1972, 35 22 30 N; 34 9  E; Eastern Central Atlantic Ocean, Shipek grab"
20706,"BM.1975,O25",,"BM.1975,O25, 295, RRS Shackleton, /09/1972, 35 22  N; 34 15  E; Eastern Central Atlantic Ocean, Shipek grab"
20707,"BM.1975,O251",,"BM.1975,O251, 246, HMS Hecla, 08/05/1974, 57 23 37 N; 5 59 7 W; Northeast Atlantic Ocean"
20708,"BM.1975,O26",,"BM.1975,O26, 296, RRS Shackleton, /09/1972, 35 22 30 N; 34 21  E; Eastern Central Atlantic Ocean, Shipek grab"
20709,"BM.1975,O27",,"BM.1975,O27, 25, HMS Bulldog, 10/09/1974, 50 30 36 N; 0 10 18 E; Northeast Atlantic Ocean, Underway sampler"
20710,"BM.1975,O28",,"BM.1975,O28, 26, HMS Bulldog, 10/09/1974, 50 31 41 N; 0 18 48 E; Northeast Atlantic Ocean, Underway sampler"
20711,"BM.1975,O284",,"BM.1975,O284, KD Kerambit, 02/08/1969, 2 25 12 N; 103 55 48 E; Western Central Pacific Ocean, Unknown, probably shovel"
20712,"BM.1975,O285",,"BM.1975,O285, 2, KD Mahamiru, 01/08/1969, 2 29 42 N; 104 2 36 E; Western Central Pacific Ocean, Gravity corer"
20713,"BM.1975,O286",,"BM.1975,O286, 3, KD Mahamiru, 01/08/1969, 2 41 36 N; 104 2 48 E; Western Central Pacific Ocean, Gravity corer"
20714,"BM.1975,O287",,"BM.1975,O287, 6, KD Mahamiru, 01/08/1969, 2 58 24 N; 104 2 42 E; Western Central Pacific Ocean, Shipek grab"
20715,"BM.1975,O288",,"BM.1975,O288, 7, KD Mahamiru, 01/08/1969, 3 4 36 N; 104 2 48 E; Western Central Pacific Ocean, Shipek grab"
20716,"BM.1975,O289",,"BM.1975,O289, 8, KD Mahamiru, 01/08/1969, 3 7  N; 103 59  E; Western Central Pacific Ocean, Shipek grab"
20717,"BM.1975,O29",,"BM.1975,O29, 27, HMS Bulldog, 10/09/1974, 50 33 36 N; 0 35 12 E; Northeast Atlantic Ocean, Underway sampler"
20718,"BM.1975,O290",,"BM.1975,O290, 9, KD Mahamiru, 01/08/1969, 3 7  N; 103 53  E; Western Central Pacific Ocean, Shipek grab"
20719,"BM.1975,O291",,"BM.1975,O291, 10, KD Mahamiru, 01/08/1969, 3 6  N; 103 46 12 E; Western Central Pacific Ocean, Shipek grab"
20720,"BM.1975,O292",,"BM.1975,O292, 11, KD Mahamiru, 01/08/1969, 3 7  N; 103 40 24 E; Western Central Pacific Ocean, Shipek grab"
20721,"BM.1975,O293",,"BM.1975,O293, 12, KD Mahamiru, 02/08/1969, 3 6 48 N; 103 33 24 E; Western Central Pacific Ocean, Shipek grab"
20722,"BM.1975,O294",,"BM.1975,O294, 13, KD Mahamiru, 02/08/1969, 3 12 48 N; 103 33  E; Western Central Pacific Ocean, Shipek grab"
20723,"BM.1975,O295",,"BM.1975,O295, 14, KD Mahamiru, 02/08/1969, 3 18 48 N; 103 32 36 E; Western Central Pacific Ocean, Shipek grab"
20724,"BM.1975,O296",,"BM.1975,O296, 15, KD Mahamiru, 02/08/1969, 3 25  N; 103 33  E; Western Central Pacific Ocean, Shipek grab"
20725,"BM.1975,O297",,"BM.1975,O297, 17, KD Mahamiru, 02/08/1969, 3 30 54 N; 103 36  E; Western Central Pacific Ocean, Shipek grab"
20726,"BM.1975,O298",,"BM.1975,O298, 18, KD Mahamiru, 02/08/1969, 3 31  N; 103 39  E; Western Central Pacific Ocean, Shipek grab"
20727,"BM.1975,O299",,"BM.1975,O299, 19, KD Mahamiru, 02/08/1969, 3 30 48 N; 103 1 54 E; Western Central Pacific Ocean, Shipek grab"
20728,"BM.1975,O3",,"BM.1975,O3, 210, RRS Shackleton, /09/1972, 34 32  N; 33 25  E; Eastern Central Atlantic Ocean, Shipek grab"
20729,"BM.1975,O30",,"BM.1975,O30, 28, HMS Bulldog, 11/09/1974, 50 32 48 N; 0 40  E; Northeast Atlantic Ocean, Underway sampler"
20730,"BM.1975,O300",,"BM.1975,O300, 20, KD Mahamiru, 02/08/1969, 3 31  N; 103 44 48 E; Western Central Pacific Ocean, Shipek grab"
20731,"BM.1975,O301",,"BM.1975,O301, 21, KD Mahamiru, 02/08/1969, 3 30 48 N; 103 47 48 E; Western Central Pacific Ocean, Shipek grab"
20732,"BM.1975,O302",,"BM.1975,O302, 22, KD Mahamiru, 02/08/1969, 3 30 48 N; 103 50 48 E; Western Central Pacific Ocean, Shipek grab"
20733,"BM.1975,O303",,"BM.1975,O303, 23, KD Mahamiru, 02/08/1969, 3 30 48 N; 103 53 42 E; Western Central Pacific Ocean, Shipek grab"
20734,"BM.1975,O304",,"BM.1975,O304, 24, KD Mahamiru, 02/08/1969, 3 30 48 N; 103 56 36 E; Western Central Pacific Ocean, Shipek grab"
20735,"BM.1975,O305",,"BM.1975,O305, 25, KD Mahamiru, 02/08/1969, 3 30 48 N; 103 57 30 E; Western Central Pacific Ocean, Shipek grab"
20736,"BM.1975,O306",,"BM.1975,O306, 26, KD Mahamiru, 02/08/1969, 3 42 42 N; 103 57 30 E; Western Central Pacific Ocean, Shipek grab"
20737,"BM.1975,O307",,"BM.1975,O307, 27, KD Mahamiru, 02/08/1969, 3 49 36 N; 103 57 30 E; Western Central Pacific Ocean, Shipek grab"
20738,"BM.1975,O308",,"BM.1975,O308, 28, KD Mahamiru, 02/08/1969, 3 59  N; 103 46 24 E; Western Central Pacific Ocean, Shipek grab"
20739,"BM.1975,O309",,"BM.1975,O309, 29, KD Mahamiru, 02/08/1969, 3 55 30 N; 103 42 24 E; Western Central Pacific Ocean, Shipek grab"
20740,"BM.1975,O31",,"BM.1975,O31, 29, HMS Bulldog, 11/09/1974, 50 31 18 N; 0 26 54 E; Northeast Atlantic Ocean, Underway sampler"
20741,"BM.1975,O310",,"BM.1975,O310, 30, KD Mahamiru, 02/08/1969, 3 49 18 N; 103 42 48 E; Western Central Pacific Ocean, Shipek grab"
20742,"BM.1975,O311",,"BM.1975,O311, 31, KD Mahamiru, 02/08/1969, 3 43 24 N; 103 42 42 E; Western Central Pacific Ocean, Shipek grab"
20743,"BM.1975,O312",,"BM.1975,O312, 32, KD Mahamiru, 02/08/1969, 3 37 12 N; 103 42 42 E; Western Central Pacific Ocean, Shipek grab"
20744,"BM.1975,O313",,"BM.1975,O313, 33, KD Mahamiru, 01/08/1969, 3 31 18 N; 103 42 24 E; Western Central Pacific Ocean, Shipek grab"
20745,"BM.1975,O314",,"BM.1975,O314, 36, KD Mahamiru, 02/08/1969, 3 13 18 N; 103 42 30 E; Western Central Pacific Ocean, Shipek grab"
20746,"BM.1975,O315",,"BM.1975,O315, 38, KD Mahamiru, 02/08/1969, 3 1 24 N; 103 42 30 E; Western Central Pacific Ocean, Shipek grab"
20747,"BM.1975,O316",,"BM.1975,O316, 39, KD Mahamiru, 02/08/1969, 2 55 48 N; 103 42 30 E; Western Central Pacific Ocean, Shipek grab"
20748,"BM.1975,O317",,"BM.1975,O317, 40, KD Mahamiru, 02/08/1969, 2 49 36 N; 103 42 42 E; Western Central Pacific Ocean, Shipek grab"
20749,"BM.1975,O318",,"BM.1975,O318, 41, KD Mahamiru, 02/08/1969, 2 45 24 N; 103 42 30 E; Western Central Pacific Ocean, Shipek grab"
20750,"BM.1975,O319",,"BM.1975,O319, 42, KD Mahamiru, 03/08/1969, 2 45 30 N; 103 53 18 E; Western Central Pacific Ocean, Shipek grab"
20751,"BM.1975,O32",,"BM.1975,O32, 30, HMS Bulldog, 12/09/1974, 50 29 42 N; 0 14 18 E; Northeast Atlantic Ocean, Underway sampler"
20752,"BM.1975,O320",,"BM.1975,O320, 44, KD Mahamiru, 03/08/1969, 2 58 18 N; 103 52 36 E; Western Central Pacific Ocean, Dredge"
20753,"BM.1975,O321",,"BM.1975,O321, 45, KD Mahamiru, 03/08/1969, 3 4 24 N; 103 52 42 E; Western Central Pacific Ocean, Dredge"
20754,"BM.1975,O322",,"BM.1975,O322, 46, KD Mahamiru, 03/08/1969, 3 13  N; 103 53 6 E; Western Central Pacific Ocean, Dredge"
20755,"BM.1975,O323",,"BM.1975,O323, 47, KD Mahamiru, 03/08/1969, 3 22  N; 103 52  E; Western Central Pacific Ocean, Dredge"
20756,"BM.1975,O324",,"BM.1975,O324, 48, KD Mahamiru, 03/08/1969, 3 34 12 N; 103 52 42 E; Western Central Pacific Ocean, Dredge"
20757,"BM.1975,O325",,"BM.1975,O325, 49, KD Mahamiru, 03/08/1969, 3 41 54 N; 103 52  E; Western Central Pacific Ocean, Dredge"
20758,"BM.1975,O326",,"BM.1975,O326, 50, KD Mahamiru, 03/08/1969, 3 48 48 N; 103 52 18 E; Western Central Pacific Ocean, Dredge"
20759,"BM.1975,O327",,"BM.1975,O327, 51, KD Mahamiru, 03/08/1969, 3 57 24 N; 103 51 36 E; Western Central Pacific Ocean, Dredge"
20760,"BM.1975,O328",,"BM.1975,O328, 52, KD Mahamiru, 03/08/1969, 3 53 12 N; 103 47 36 E; Western Central Pacific Ocean, Dredge"
20761,"BM.1975,O329",,"BM.1975,O329, 53, KD Mahamiru, 03/08/1969, 3 53  N; 103 37  E; Western Central Pacific Ocean, Dredge"
20762,"BM.1975,O33",,"BM.1975,O33, 31, HMS Bulldog, 18/09/1974, 50 27 48 N; 0 11 36 E; Northeast Atlantic Ocean, Underway sampler"
20763,"BM.1975,O330",,"BM.1975,O330, 54, KD Mahamiru, 03/08/1969, 3 47 18 N; 103 37 36 E; Western Central Pacific Ocean, Dredge"
20764,"BM.1975,O331",,"BM.1975,O331, 55, KD Mahamiru, 03/08/1969, 3 41  N; 103 37 36 E; Western Central Pacific Ocean, Dredge"
20765,"BM.1975,O332",,"BM.1975,O332, 56, KD Mahamiru, 03/08/1969, 3 35  N; 103 37 42 E; Western Central Pacific Ocean, Dredge"
20766,"BM.1975,O333",,"BM.1975,O333, 57, KD Mahamiru, 03/08/1969, 3 26 30 N; 103 37 48 E; Western Central Pacific Ocean, Dredge"
20767,"BM.1975,O334",,"BM.1975,O334, 59, KD Mahamiru, 03/08/1969, 3 14 30 N; 103 37 30 E; Western Central Pacific Ocean, Dredge"
20768,"BM.1975,O335",,"BM.1975,O335, 60, KD Mahamiru, 03/08/1969, 3 8 48 N; 103 37 36 E; Western Central Pacific Ocean, Dredge"
20769,"BM.1975,O336",,"BM.1975,O336, 61, KD Mahamiru, 03/08/1969, 3 2 36 N; 103 37 36 E; Western Central Pacific Ocean, Dredge"
20770,"BM.1975,O337",,"BM.1975,O337, 62, KD Mahamiru, 03/08/1969, 2 56 30 N; 103 37 36 E; Western Central Pacific Ocean, Dredge"
20771,"BM.1975,O338",,"BM.1975,O338, 63, KD Mahamiru, 03/08/1969, 2 50 48 N; 103 37 36 E; Western Central Pacific Ocean, Dredge"
20772,"BM.1975,O339",,"BM.1975,O339, 65, KD Mahamiru, 03/08/1969, 2 56 36 N; 103 47 30 E; Western Central Pacific Ocean, Dredge"
20773,"BM.1975,O34",,"BM.1975,O34, 32, HMS Bulldog, 18/09/1974, 50 30 30 N; 0 32 48 E; Northeast Atlantic Ocean, Underway sampler"
20774,"BM.1975,O340",,"BM.1975,O340, 66, KD Mahamiru, 03/08/1969, 3 2 48 N; 103 47 30 E; Western Central Pacific Ocean, Dredge"
20775,"BM.1975,O341",,"BM.1975,O341, 67, KD Mahamiru, 03/08/1969, 3 11  N; 103 47 36 E; Western Central Pacific Ocean, Dredge"
20776,"BM.1975,O342",,"BM.1975,O342, 68, KD Mahamiru, 03/08/1969, 3 17  N; 103 47 36 E; Western Central Pacific Ocean, Dredge"
20777,"BM.1975,O343",,"BM.1975,O343, 69, KD Mahamiru, 05/08/1969, 3 23  N; 103 47 36 E; Western Central Pacific Ocean, Dredge"
20778,"BM.1975,O344",,"BM.1975,O344, 70, KD Mahamiru, 05/08/1969, 3 36 48 N; 103 47 30 E; Western Central Pacific Ocean, Dredge"
20779,"BM.1975,O345",,"BM.1975,O345, 71, KD Mahamiru, 05/08/1969, 3 43 18 N; 103 47 36 E; Western Central Pacific Ocean, Dredge"
20780,"BM.1975,O346",,"BM.1975,O346, 72, KD Mahamiru, 05/08/1969, 3 49 36 N; 103 47 18 E; Western Central Pacific Ocean, Dredge"
20781,"BM.1975,O347",,"BM.1975,O347, 73, KD Mahamiru, 05/08/1969, 3 55  N; 103 32 36 E; Western Central Pacific Ocean, Dredge"
20782,"BM.1975,O348",,"BM.1975,O348, 74, KD Mahamiru, 05/08/1969, 3 51  N; 103 52 48 E; Western Central Pacific Ocean, Dredge"
20783,"BM.1975,O349",,"BM.1975,O349, 75, KD Mahamiru, 05/08/1969, 3 47 6 N; 103 32 48 E; Western Central Pacific Ocean, Dredge"
20784,"BM.1975,O35",,"BM.1975,O35, 33, HMS Bulldog, 19/09/1974, 50 28 21 N; 0 26 18 E; Northeast Atlantic Ocean, Underway sampler"
20785,"BM.1975,O350",,"BM.1975,O350, 76, KD Mahamiru, 05/08/1969, 3 42 48 N; 103 32 48 E; Western Central Pacific Ocean, Dredge"
20786,"BM.1975,O351",,"BM.1975,O351, 77, KD Mahamiru, 05/08/1969, 3 39  N; 103 32 24 E; Western Central Pacific Ocean, Dredge"
20787,"BM.1975,O352",,"BM.1975,O352, 78, KD Mahamiru, 05/08/1969, 3 35  N; 103 32 30 E; Western Central Pacific Ocean, Dredge"
20788,"BM.1975,O353",,"BM.1975,O353, 79, KD Mahamiru, 05/08/1969, 3 1  N; 103 57 30 E; Western Central Pacific Ocean, Dredge"
20789,"BM.1975,O354",,"BM.1975,O354, 80, KD Mahamiru, 05/08/1969, 2 55  N; 103 57 42 E; Western Central Pacific Ocean, Dredge"
20790,"BM.1975,O355",,"BM.1975,O355, 81, KD Mahamiru, 05/08/1969, 2 48 42 N; 103 57 42 E; Western Central Pacific Ocean, Dredge"
20791,"BM.1975,O356",,"BM.1975,O356, 82, KD Mahamiru, 05/08/1969, 2 41 24 N; 103 57 36 E; Western Central Pacific Ocean, Dredge"
20792,"BM.1975,O357",,"BM.1975,O357, 83, KD Mahamiru, 05/08/1969, 2 22 30 N; 104 7 12 E; Western Central Pacific Ocean, Dredge"
20793,"BM.1975,O358",,"BM.1975,O358, 84, KD Mahamiru, 05/08/1969, 2 27 42 N; 104 7 24 E; Western Central Pacific Ocean, Dredge"
20794,"BM.1975,O359",,"BM.1975,O359, 85, KD Mahamiru, 05/08/1969, 2 33 42 N; 104 7 18 E; Western Central Pacific Ocean, Dredge"
20795,"BM.1975,O36",,"BM.1975,O36, 34, HMS Bulldog, 20/09/1974, 50 25 48 N; 0 17 12 E; Northeast Atlantic Ocean, Underway sampler"
20796,"BM.1975,O360",,"BM.1975,O360, 86, KD Mahamiru, 05/08/1969, 2 39 36 N; 104 7 12 E; Western Central Pacific Ocean, Dredge"
20797,"BM.1975,O361",,"BM.1975,O361, 87, KD Mahamiru, 05/08/1969, 2 46  N; 104 6 18 E; Western Central Pacific Ocean, Dredge"
20798,"BM.1975,O362",,"BM.1975,O362, 88, KD Mahamiru, 05/08/1969, 2 50 36 N; 104 7 24 E; Western Central Pacific Ocean, DredgeShipek grab"
20799,"BM.1975,O363",,"BM.1975,O363, 89, KD Mahamiru, 05/08/1969, 2 55 30 N; 104 7 24 E; Western Central Pacific Ocean, Dredge"
20800,"BM.1975,O364",,"BM.1975,O364, 90, KD Mahamiru, 05/08/1969, 3 0  N; 104 7 48 E; Western Central Pacific Ocean, Dredge"
20801,"BM.1975,O365",,"BM.1975,O365, 91, KD Mahamiru, 05/08/1969, 3 0 18 N; 104 13 36 E; Western Central Pacific Ocean, Dredge"
20802,"BM.1975,O366",,"BM.1975,O366, 92, KD Mahamiru, 05/08/1969, 2 54  N; 104 13 54 E; Western Central Pacific Ocean, Dredge"
20803,"BM.1975,O367",,"BM.1975,O367, 93, KD Mahamiru, 05/08/1969, 2 47 42 N; 104 14 6 E; Western Central Pacific Ocean, Dredge"
20804,"BM.1975,O368",,"BM.1975,O368, 94, KD Mahamiru, 06/08/1969, 2 41 42 N; 104 13 48 E; Western Central Pacific Ocean, Dredge"
20805,"BM.1975,O369",,"BM.1975,O369, 95, KD Mahamiru, 06/08/1969, 2 35 48 N; 104 13 48 E; Western Central Pacific Ocean, Dredge"
20806,"BM.1975,O37",,"BM.1975,O37, 35, HMS Bulldog, 20/09/1974, 50 28 24 N; 0 38 30 E; Northeast Atlantic Ocean, Underway sampler"
20807,"BM.1975,O370",,"BM.1975,O370, 96, KD Mahamiru, 06/08/1969, 2 29 48 N; 104 13 24 E; Western Central Pacific Ocean, Dredge"
20808,"BM.1975,O371",,"BM.1975,O371, 97, KD Mahamiru, 06/08/1969, 2 24 6 N; 104 13 48 E; Western Central Pacific Ocean, Dredge"
20809,"BM.1975,O372",,"BM.1975,O372, 98, KD Mahamiru, 06/08/1969, 2 17 48 N; 104 13 36 E; Western Central Pacific Ocean, Dredge"
20810,"BM.1975,O373",,"BM.1975,O373, 99, KD Mahamiru, 06/08/1969, 2 12 18 N; 104 13 48 E; Western Central Pacific Ocean, Dredge"
20811,"BM.1975,O374",,"BM.1975,O374, 100, KD Mahamiru, 06/08/1969, 2 12 30 N; 104 18 54 E; Western Central Pacific Ocean, Dredge"
20812,"BM.1975,O375",,"BM.1975,O375, 102, KD Mahamiru, 06/08/1969, 2 23 54 N; 104 18 48 E; Western Central Pacific Ocean, Dredge"
20813,"BM.1975,O376",,"BM.1975,O376, 103, KD Mahamiru, 06/08/1969, 2 29 54 N; 104 19  E; Western Central Pacific Ocean, Dredge"
20814,"BM.1975,O377",,"BM.1975,O377, 104, KD Mahamiru, 06/08/1969, 2 36  N; 104 18 12 E; Western Central Pacific Ocean, Dredge"
20815,"BM.1975,O378",,"BM.1975,O378, 105, KD Mahamiru, 06/08/1969, 2 41 48 N; 104 18 48 E; Western Central Pacific Ocean, Dredge"
20816,"BM.1975,O379",,"BM.1975,O379, 107, KD Mahamiru, 06/08/1969, 2 53 48 N; 104 18 24 E; Western Central Pacific Ocean, Dredge"
20817,"BM.1975,O38",,"BM.1975,O38, 36, HMS Bulldog, 08/10/1974, 50 26 6 N; 0 30 30 E; Northeast Atlantic Ocean, Underway sampler"
20818,"BM.1975,O380",,"BM.1975,O380, 108, KD Mahamiru, 06/08/1969, 3 0 24 N; 104 18 42 E; Western Central Pacific Ocean, Dredge"
20819,"BM.1975,O381",,"BM.1975,O381, 109, KD Mahamiru, 06/08/1969, 2 45 24 N; 103 48 48 E; Western Central Pacific Ocean, Shipek grab"
20820,"BM.1975,O382",,"BM.1975,O382, 110, KD Mahamiru, 06/08/1969, 2 48 48 N; 103 49 36 E; Western Central Pacific Ocean, Shipek grab"
20821,"BM.1975,O383",,"BM.1975,O383, 111, KD Mahamiru, 06/08/1969, 2 39 48 N; 103 50 54 E; Western Central Pacific Ocean, Shipek grab"
20822,"BM.1975,O384",,"BM.1975,O384, 112, KD Mahamiru, 06/08/1969, 2 37 30 N; 103 52 12 E; Western Central Pacific Ocean, Shipek grab"
20823,"BM.1975,O385",,"BM.1975,O385, 113, KD Mahamiru, 06/08/1969, 2 34 36 N; 103 53 24 E; Western Central Pacific Ocean, Shipek grab"
20824,"BM.1975,O386",,"BM.1975,O386, 114, Kd Mahamiru, 06/08/1969, 2 31 54 N; 103 54 18 E; Western Central Pacific Ocean, Shipek grab"
20825,"BM.1975,O387",,"BM.1975,O387, 115, KD Mahamiru, 06/08/1969, 2 29 6 N; 103 55 24 E; Western Central Pacific Ocean, Shipek grab"
20826,"BM.1975,O388",,"BM.1975,O388, 116, KD Mahamiru, 06/08/1969, 2 26 48 N; 103 56 24 E; Western Central Pacific Ocean, Shipek grab"
20827,"BM.1975,O389",,"BM.1975,O389, 118, KD Mahamiru, 06/08/1969, 2 21 24 N; 103 53 48 E; Western Central Pacific Ocean, Shipek grab"
20828,"BM.1975,O39",,"BM.1975,O39, 37, HMS Bulldog, 09/10/1974, 50 25 18 N; 0 37 48 E; Northeast Atlantic Ocean, Underway sampler"
20829,"BM.1975,O390",,"BM.1975,O390, 119, KD Mahamiru, 06/08/1969, 2 18 36 N; 104 0 36 E; Western Central Pacific Ocean, Shipek grab"
20830,"BM.1975,O391",,"BM.1975,O391, 120, KD Mahamiru, 06/08/1969, 2 15 48 N; 104 1  E; Western Central Pacific Ocean, Shipek grab"
20831,"BM.1975,O392",,"BM.1975,O392, 121, KD Mahamiru, 06/08/1969, 2 13  N; 104 2 18 E; Western Central Pacific Ocean, Shipek grab"
20832,"BM.1975,O393",,"BM.1975,O393, 122, KD Mahamiru, 06/08/1969, 2 10 6 N; 104 4 6 E; Western Central Pacific Ocean, Shipek grab"
20833,"BM.1975,O394",,"BM.1975,O394, 123, KD Mahamiru, 06/08/1969, 2 7 42 N; 104 4 30 E; Western Central Pacific Ocean, Shipek grab"
20834,"BM.1975,O395",,"BM.1975,O395, 124, KD Mahamiru, 06/08/1969, 2 5  N; 104 5 48 E; Western Central Pacific Ocean, Shipek grab"
20835,"BM.1975,O396",,"BM.1975,O396, 125, KD Mahamiru, 06/08/1969, 2 2 12 N; 104 6 54 E; Western Central Pacific Ocean, Shipek grab"
20836,"BM.1975,O397",,"BM.1975,O397, 126, KD Mahamiru, 06/08/1969, 1 59 24 N; 104 8  E; Western Central Pacific Ocean, Shipek grab"
20837,"BM.1975,O398",,"BM.1975,O398, 127, KD Mahamiru, 06/08/1969, 1 56 24 N; 104 9 30 E; Western Central Pacific Ocean, Shipek grab"
20838,"BM.1975,O399",,"BM.1975,O399, 128, KD Mahamiru, 06/08/1969, 1 54  N; 104 10 48 E; Western Central Pacific Ocean, Shipek grab"
20839,"BM.1975,O4",,"BM.1975,O4, 211, RRS Shackleton, /09/1972, 34 36  N; 33 23  E; Eastern Central Atlantic Ocean, Shipek grab"
20840,"BM.1975,O40",,"BM.1975,O40, 38, HMS Bulldog, 09/10/1974, 50 23 12 N; 0 18 24 E; Northeast Atlantic Ocean, Underway sampler"
20841,"BM.1975,O400",,"BM.1975,O400, 129, KD Mahamiru, 06/08/1969, 1 51 24 N; 104 11 24 E; Western Central Pacific Ocean, Shipek grab"
20842,"BM.1975,O401",,"BM.1975,O401, 130, KD Mahamiru, 17/08/1969, 3 6 24 N; 103 30 30 E; Western Central Pacific Ocean, Shipek grab"
20843,"BM.1975,O402",,"BM.1975,O402, 131, KD Mahamiru, 17/08/1969, 3 11 18 N; 103 30 12 E; Western Central Pacific Ocean, Shipek grab"
20844,"BM.1975,O403",,"BM.1975,O403, 133, KD Mahamiru, 17/08/1969, 3 21 30 N; 103 30 24 E; Western Central Pacific Ocean, Shipek grab"
20845,"BM.1975,O404",,"BM.1975,O404, 134, KD Mahamiru, 17/08/1969, 3 26 36 N; 103 30 30 E; Western Central Pacific Ocean, Shipek grab"
20846,"BM.1975,O405",,"BM.1975,O405, 135, KD Mahamiru, 17/08/1969, 3 30 54 N; 103 30 36 E; Western Central Pacific Ocean, Shipek grab"
20847,"BM.1975,O406",,"BM.1975,O406, 136, KD Mahamiru, 17/08/1969, 3 33 48 N; 103 30 24 E; Western Central Pacific Ocean, Shipek grab"
20848,"BM.1975,O407",,"BM.1975,O407, 137, KD Mahamiru, 17/08/1969, 3 37  N; 103 30 6 E; Western Central Pacific Ocean, Shipek grab"
20849,"BM.1975,O408",,"BM.1975,O408, 138, KD Mahamiru, 17/08/1969, 3 40  N; 103 30  E; Western Central Pacific Ocean, Shipek grab"
20850,"BM.1975,O409",,"BM.1975,O409, 139, KD Mahamiru, 17/08/1969, 3 43 36 N; 103 30 24 E; Western Central Pacific Ocean, Shipek grab"
20851,"BM.1975,O41",,"BM.1975,O41, 39, HMS Bulldog, 09/10/1974, 50 22 18 N; 0 11 48 E; Northeast Atlantic Ocean, Underway sampler"
20852,"BM.1975,O410",,"BM.1975,O410, 140, KD Mahamiru, 17/08/1969, 3 46 36 N; 103 30 18 E; Western Central Pacific Ocean, Shipek grab"
20853,"BM.1975,O411",,"BM.1975,O411, 141, KD Mahamiru, 17/08/1969, 3 49 24 N; 103 30 12 E; Western Central Pacific Ocean, Shipek grabQT"
20854,"BM.1975,O412",,"BM.1975,O412, 142, KD Mahamiru, 18/08/1969, 3 52  N; 103 30 24 E; Western Central Pacific Ocean, Shipek grab"
20855,"BM.1975,O413",,"BM.1975,O413, 143, KD Mahamiru, 18/08/1969, 3 55 6 N; 103 30 24 E; Western Central Pacific Ocean, Shipek grab"
20856,"BM.1975,O414",,"BM.1975,O414, 144, KD Mahamiru, 18/08/1969, 3 54 36 N; 103 27 48 E; Western Central Pacific Ocean, Shipek grab"
20857,"BM.1975,O415",,"BM.1975,O415, 145, KD Mahamiru, 18/08/1969, 3 51 42 N; 103 28  E; Western Central Pacific Ocean, Shipek grab"
20858,"BM.1975,O416",,"BM.1975,O416, 146, KD Mahamiru, 18/08/1969, 3 48 36 N; 103 28 12 E; Western Central Pacific Ocean, Shipek grab"
20859,"BM.1975,O417",,"BM.1975,O417, 147, KD Mahamiru, 18/08/1969, 3 45 42 N; 103 28  E; Western Central Pacific Ocean, Shipek grab"
20860,"BM.1975,O418",,"BM.1975,O418, 148, KD Mahamiru, 18/08/1969, 3 43 6 N; 103 28  E; Western Central Pacific Ocean, Shipek grab"
20861,"BM.1975,O419",,"BM.1975,O419, 149, KD Mahamiru, 18/08/1969, 3 39 48 N; 103 28 6 E; Western Central Pacific Ocean, Shipek grab"
20862,"BM.1975,O42",,"BM.1975,O42, 40, HMS Bulldog, 10/10/1974, 50 20 24 N; 0 20 48 E; Northeast Atlantic Ocean, Underway sampler"
20863,"BM.1975,O420",,"BM.1975,O420, 150, KD Mahamiru, 18/08/1969, 3 36 36 N; 103 28 12 E; Western Central Pacific Ocean, Shipek grab"
20864,"BM.1975,O421",,"BM.1975,O421, 151, KD Mahamiru, 18/08/1969, 3 36 36 N; 103 25 24 E; Western Central Pacific Ocean, Shipek grab"
20865,"BM.1975,O422",,"BM.1975,O422, 152, KD Mahamiru, 18/08/1969, 3 39 48 N; 103 25 24 E; Western Central Pacific Ocean, Shipek grab"
20866,"BM.1975,O423",,"BM.1975,O423, 153, KD Mahamiru, 18/08/1969, 3 43 24 N; 103 25 24 E; Western Central Pacific Ocean, Shipek grab"
20867,"BM.1975,O424",,"BM.1975,O424, 154, KD Mahamiru, 18/08/1969, 3 45 48 N; 103 25 30 E; Western Central Pacific Ocean, Shipek grab"
20868,"BM.1975,O425",,"BM.1975,O425, 155, KD Mahamiru, 18/08/1969, 3 48 48 N; 103 25 30 E; Western Central Pacific Ocean, Shipek grab"
20869,"BM.1975,O426",,"BM.1975,O426, 156, KD Mahamiru, 18/08/1969, 3 51 54 N; 103 25 24 E; Western Central Pacific Ocean, Shipek grab"
20870,"BM.1975,O427",,"BM.1975,O427, 157, KD Mahamiru, 18/08/1969, 3 55 12 N; 103 25 18 E; Western Central Pacific Ocean, Shipek grab"
20871,"BM.1975,O428",,"BM.1975,O428, 158, KD Mahamiru, 18/08/1969, 3 48 33 N; 103 20 34 E; Western Central Pacific Ocean, Shipek grab"
