"lat","long","lat_deg","lat_min","lat_sec","lat_N_S","long_deg","long_min","long_sec","long_W_E","tow","sample_depth_min","sample_depth_max","sample_type","buckley_sea_depth","NOAA_sea_depth","Diff_Buckley_NOAA","Ocean","OBD_IRN","acostaensis","adamsi","altispira","anfracta","bollii","bulloides","calida","conglobatus","conglomerata","crassaformis","dehiscens","decoraperta","digitata","dutertrei","falconensis","fohsi","glomerosa","glutinata","hexagona","hirsuta","humerosa","humilis","inflata","iota","insueta","mayeri","menardii","minuta","mitra","multicamerata","nepenthes","nitida","obliquiloculata","obliquus","pachyderma","pelagica","praepumilio","primalis","pseudofoliata","pumilio","punctulata","quinqueloba","ruber","rubescens","sacculifera","scitula","seminulina","siphonifera","spectabilis","subdehiscens","tenellus","tosaensis","trilobus","truncatulinoides","tumida","universa","uvula","venezuelana","various","ssp_richness","total_idind","total_ind"
24.33333,-24.46667,24,20,0,"N",24,28,0,"W",0,"no_info","no_info","no_info","5011",-5153,-142,"Atlantic ocean",33286,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,65,65
20.44222,68.84028,20,36,32,"N",68,50,25,"E",0,"no_info","no_info","no_info","2140",-2680,-540,"Indian ocean/Arabian sea",35818,0,1,0,0,0,13,0,6,1,0,1,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,7,0,0,0,0,0,0,0,0,0,0,3,11,92,95
-0.7,147,0,42,0,"S",147,0,0,"E",0,"no_info","no_info","no_info","2012",-2213,-201,"Pacific ocean",33668,0,0,0,0,0,0,0,14,3,0,1,0,0,13,0,0,0,22,0,0,0,2,0,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,11,8,23,0,0,8,0,0,0,0,0,0,9,0,0,0,15,13,150,165
-9.68333,-174.625,9,41,0,"S",174,37,30,"W",0,"no_info","no_info","no_info","4188",-4057,131,"Pacific ocean",36515,0,0,0,0,0,0,0,13,3,2,11,0,0,10,0,0,0,15,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,30,0,0,11,0,0,0,0,0,0,14,0,0,0,3,11,134,137
1.21333,-161.83667,1,12,48,"N",161,50,12,"W",0,"no_info","no_info","no_info","4243",-4634,-391,"Pacific ocean",36683,0,0,0,0,0,0,0,3,11,1,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,12,0,0,10,0,0,0,0,0,2,18,0,0,0,0,12,89,89
-10.21472,178.01444,10,12,53,"S",178,0,52,"E",0,"no_info","no_info","no_info","4965",-4844,121,"Pacific ocean",36361,0,0,0,0,0,0,0,17,5,6,7,0,0,16,0,0,0,26,0,0,0,0,0,0,0,0,17,0,0,0,0,3,18,0,0,0,0,0,0,0,13,0,18,6,30,0,0,25,0,0,6,0,0,2,11,0,0,0,9,17,226,235
-13.17167,-175.68833,13,10,18,"S",175,41,18,"W",0,"no_info","no_info","no_info","4071",-3952,119,"Pacific ocean",36704,0,0,0,0,0,0,0,14,1,0,3,0,0,15,0,0,0,26,0,0,0,0,0,0,0,0,17,0,0,0,0,3,17,0,0,0,0,0,0,0,12,0,23,15,21,0,0,23,0,0,14,0,0,0,13,0,0,0,5,15,217,222
-15.65,-179.0625,15,39,0,"S",179,3,45,"W",0,"no_info","no_info","no_info","2579",-2519,60,"Pacific ocean",34993,0,0,0,0,0,0,0,18,0,0,1,0,0,19,0,0,0,35,0,0,0,0,0,0,0,0,24,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,30,9,31,0,0,20,0,0,21,0,0,2,12,0,0,0,26,14,237,263
3.86667,65.51667,3,52,0,"N",65,31,0,"E",0,"core = 3","core = 3","many_cores","3910",-3663,247,"Indian ocean",17338,0,0,0,0,0,28,0,20,25,0,6,0,0,22,0,0,0,26,3,0,0,0,0,0,0,0,31,0,0,0,0,0,23,0,16,0,0,0,0,0,26,0,29,5,27,8,0,24,0,0,4,0,0,5,26,0,0,0,2,19,354,356
21.2,-45.35,21,12,0,"N",45,21,0,"W",0,"core = 3","core = 3","many_cores","3000",-3182,-182,"Atlantic ocean",17348,0,0,0,0,0,14,0,71,0,0,83,0,0,58,0,0,0,67,0,0,0,0,0,0,0,0,115,0,0,0,0,32,33,0,0,0,0,0,0,0,47,0,101,0,83,0,0,52,0,0,56,0,0,82,4,0,0,0,156,15,898,1054
