IRN,ZF no.,Square,Genus,,Species,Sub-species,Notes on slides,Era,Grade,No. of individuals,No. positioned individuals,Observations Marina,Buckley Slide/SL,Museum no.,Residue IRN,Cruise name,Cruise station no.,Collection date,Observations,Collect info,tow,Sea Depth NOAA (m),Sea Depth (m),Sea Depth (fms),Sea Depth (feet),Sample depth (cm),sample_depth_min,sample_depth_max,Lat degrees,Lat minutes,Lat seconds,Lat N/S,Long degrees,Long minutes,Long seconds,Long W/E,Lat decimal,Long decimal,Ocean/Sea
5271849,6100,,Globigerina,,bulloides,,,,,3,,tow,1315,"1968,O434",18582,Oceanographer,4U,03/07/67,,Icita net,1,-2284,50,27,,,,,6,52,0,N,77,43,0,E,6.86667,77.71667,Indian ocean near coast
5271850,6101,,Globigerina,,bulloides,,,,,2,,tow,1410,"1968,O448",18597,Oceanographer,18,19/08/67,,Plankton tow,1,-114,50,27,,,,,24,30,0,S,112,31,0,E,-24.5,112.51667,Indian ocean near coast
5271851,6102,,Globigerina,,bulloides,,,,,2,,tow,1511,"1968,O454",18603,Oceanographer,24B & 24U,22/08/67,,Icita net,1,-270,50,27,,,,,30,26,0,S,114,37,0,E,-30.43333,114.61667,Indian ocean near coast
5271852,6103,,Globigerina,,bulloides,,,,,8,,tow,1495,"1968,O456",18605,Oceanographer,03-Jan,01/07/67,"same as 1968,O433",,1,-2472,50,27,,,,,8,11,0,N,75,13,0,E,8.18333,75.21667,Indian ocean
5271853,6104,,Globigerina,,bulloides,,,,,6,,tow,1550,"1968,O457",18606,Oceanographer,04-Feb,03/07/67,"same as 1968,O434",,1,-2284,50,27,,,,,6,52,0,N,77,43,0,E,6.86667,77.71667,Indian ocean near coast
5271854,6105,,Globigerina,,bulloides,,,,,2,,tow,1487,"1968,O458",18607,Oceanographer,11-Mar,11/08/67,,,1,-30,50,27,,,,,6,23,0,S,112,34,0,E,-6.38333,112.56667,Java Sea
5271856,6106,,Globigerina,,bulloides,,,,,1,,tow,1481,"1968,O459",18608,Oceanographer,12-Apr,12/08/67,,,1,-77,50,27,,,,,6,44,0,S,114,25,0,E,-6.73333,114.41667,Java Sea
5271880,6126,,Globigerina,cf.,calida,,,,,1,,tow,1097,,18720,Anton Bruun (A.B.) cruise 2,St. 144 ; no. 834,17/07/63,Slide: 17/07/1967,Plankton tow,1,-4379,500-1000,,,,,,4,18,0,N,80,8,0,E,4.3,80.13333,Indian ocean near coast
5271881,6127,,Globigerina,,calida,,,,,5,,tow,1366,"1968,O441",18590,Oceanographer,11B & 11U,11/08/67,"same as 1968,O458",Icita net,1,-30,50,27,,,,,6,23,0,S,112,34,0,E,-6.38333,112.56667,Java Sea
5271882,6128,,Globigerina,,calida,,,,,3,,tow,1441,"1968,O470",18619,Oceanographer,23-15,22/08/67,,,1,-98,50,27,,,,,23,57,0,S,113,6,0,E,-23.95,113.1,Indian ocean near coast
5271883,6129,,Globigerina,,calida,,,,,1,,tow,1431,"1968,O450",18599,Oceanographer,20,20/08/67,,,1,-2096,50,27,,,,,26,55,0,S,111,34,0,E,-26.91667,111.56667,Indian ocean near coast
5271886,6131,,Globigerina,,calida,,,,,6,,tow,1319,"1968,O435",18584,Oceanographer,5U,03/07/67,,,1,-70,50,27,,,,,5,55,0,N,80,8,0,E,5.91667,80.13333,Indian ocean near coast
5271887,6132,,Globigerina,,calida,,,,,1,,tow,1520,"1968,O455",18604,Oceanographer,25B & 25U,23/08/67,,,1,-210,50,27,,,,,30,42,0,S,114,41,0,E,-30.7,114.68333,Indian ocean near coast
5271888,6133,,Globigerina,,calida,,,,,2,,tow,1534,"1968,O471",18620,Oceanographer,24-16,22/08/67,,,1,-298,50,27,,,,,30,30,0,S,114,38,0,E,-30.5,114.63333,Indian ocean near coast
5271889,6134,,Globigerina,,calida,,,,,1,,tow,1557,"1968,O463",18612,Oceanographer,16-Aug,18/08/67,,,1,-1590,50,27,,,,,18,23,0,S,113,23,0,E,-18.38333,113.38333,Indian ocean
5271890,6135,,Globigerina,,calida,,identification conflict,,,2,,tow,1565,"1968,O462",18611,Oceanographer,15-Jul,17/08/67,,,1,-2506,50,27,,,,,16,39,0,S,113,3,0,E,-16.65,113.05,Indian ocean
5271891,6136,,Globigerina,,calida,,,,,7,,tow,1361,"1968,O440",18589,Oceanographer,10B & 10U,06/07/67,,,1,-4406,50,27,,,,,5,7,0,N,92,45,0,E,5.11667,92.75,Indian ocean
5271919,6159,,Globigerina,,rubescens,,,,,2,,tow,1352,"1968,O438",18587,Oceanographer,8B & 8U,05/07/67,,Icita Net,1,-3936,50,27,,,,,5,11,0,N,88,7,0,E,5.18333,88.11667,Indian ocean
5271937,6175,,Globigerina,,falconensis,,,,,12,,tow,1074,,,Eltanin Cruise 24,no.1601,,,Plankton tow,1,-5376,0-200,,,,,,42,30,0,S,147,57,0,W,-42.5,-147.95,Pacific ocean
5271979,6213,,Globigerina,,incompta,,P17 ; Cifelli ; Coll. May 1961,,,10,,tow,,"1,962,163",,,,,No residue IRN - slides from Museum Washington D.C.,Oblique tow,1,-157,0-200,,,,,,40,6,0,N,71,3,0,W,40.1,-71.05,Atlantic ocean near coast
5465291,6291,,Globigerinoides,,ruber,,,,,4,1,tow,1109,,,J.I.O.E. Meteor,245,21/03/65,,Plankton tow,1,-2775,0-200,,,,,,23,9,0,N,62,53,0,E,23.15,62.88333,Indian ocean near coast
5465383,6383,,Globigerinoides,,tenellus,,,,,2,,tow,1283,"1968,O431",18579,Oceanographer,1B & 1U,26/06/67,,,1,-123,50,27,,,,,17,18,0,N,72,8,0,E,17.3,72.13333,Indian ocean near coast
5465469,6469,,Globoquadrina,,conglomerata,,,,,1,1,tow,1341,"1968,O437",18586,Oceanographer,7B,05/07/67,,Icita Net,1,-4025,50,27,,,,,5,26,0,N,85,37,0,E,5.43333,85.61667,Indian ocean
5465492,6492,,Globoquadrina,,hexagona,,,,,4,1,tow,1080,,18717,Anton Bruun (A.B.) cruise 1,Stn.97 no. 479,01/05/63,,Plankton tow,1,-3151,0-250,,,,,,13,8,0,N,86,12,0,E,13.13333,86.2,"Indian ocean, Bay of Bengal"
5465498,6498,,Globoquadrina,,hexagona,,P20 ; Natland,,,5,4,tow,,"1,963,378",16377,Shellback Exped. / RV Horizon,142,23/07/52,Residue OBD: 23/07/1963,Oblique haul,1,-4865,0-321,,,,,,14,59,0,S,85,3,0,W,-14.98333,-85.05,Pacific ocean
5465539,6539,,Globigerinita,,glutinata,,,,,17,,tow,1039,"1967,O364",18266,Zapiola,,Sep-63,,Surface plankton tow,1,-3846,,,,,,,31,9,0,S,43,0,0,W,-31.15,-43,Atlantic ocean
5465543,6543,,Globigerinita,,glutinata,,,,,1,,tow,1322,"1968,O435",18584,Oceanographer,5U,03/07/67,,,1,-70,50,27,,,,,5,55,0,N,80,8,0,E,5.91667,80.13333,Indian ocean near coast
5465544,6544,,Globigerinita,,glutinata,,,,,1,,tow,1369,"1968,O441",18590,Oceanographer,11B & 11U,11/08/67,"same as 1968,O458",Icita net,1,-30,50,27,,,,,6,23,0,S,112,34,0,E,-6.38333,112.56667,Java Sea
5465545,6545,,Globigerinita,,glutinata,,,,,1,,tow,1419,"1968,O449",18598,Oceanographer,19,20/08/67,,,1,-1056,50,27,,,,,26,5,0,S,111,36,0,E,-26.08333,111.6,Indian ocean
5465546,6546,,Globigerinita,,glutinata,,,,,1,,tow,1442,"1968,O470",18619,Oceanographer,23-15,22/08/67,,,1,-98,50,27,,,,,23,57,0,S,113,6,0,E,-23.95,113.1,Indian ocean near coast
5465547,6547,,Globigerinita,,glutinata,,,,,2,,tow,1429,"1968,O450",18599,Oceanographer,20,20/08/67,,,1,-2096,50,27,,,,,26,55,0,S,111,34,0,E,-26.91667,111.56667,Indian ocean near coast
5465548,6548,,Globigerinita,,glutinata,,,,,1,,tow,1524,"1968,O455",18604,Oceanographer,25B & 25U,23/08/67,,,1,-210,50,27,,,,,30,42,0,S,114,41,0,E,-30.7,114.68333,Indian ocean near coast
5465585,6585,,Orbulina ,,universa,,,,,2,2,tow,1042,"1967,O367",18269,Zapiola,,Sep-63,"Slide: Lat 21 11  S, but it's land!",Surface plankton tow,1,-3537,,,,,,,28,11,0,S,43,34,0,W,-28.18333,-43.56667,Atlantic ocean
5465587,6587,,Orbulina ,,universa,,,,,3,3,tow,1069,,18718,Anton Bruun (A.B.) cruise 2,137,10/07/63,,"Plankton tow, Be net",1,-4968,0-125,,,,,,14,50,0,S,79,56,0,E,-14.83333,79.93333,Indian ocean
5465588,6588,,Orbulina ,,universa,,,,,1,0,tow,1091,,18720,Anton Bruun (A.B.) cruise 2,St. 144 ; no. 834,17/07/63,,Plankton tow,1,-4379,500-1000,,,,,,4,18,0,N,80,8,0,E,4.3,80.13333,Indian ocean
5465589,6589,,Orbulina ,,universa,,,,,5,5,tow,1098,,18719,Anton Bruun (A.B.) cruise 2,"Stn 139, no. 796",12/07/63,,Plankton tow,1,-5228,0-250,,,,,,8,37,0,S,79,34,0,E,-8.61667,79.56667,Indian ocean
5465590,6590,,G.,,"aequilateralis, eggeri, sacculifera",,,,,14,0,tow,1110,,,J.I.O.E. Meteor,202,18/02/65,,Plankton tow,1,-2809,0-200,,,,,,13,35,48,N,70,50,0,E,13.59667,70.83333,Indian ocean
,6590,,Orbulina ,,universa,,,,,6,6,tow,1110,,,J.I.O.E. Meteor,202,18/02/65,,Plankton tow,1,-2809,0-200,,,,,,13,35,48,N,70,50,0,E,13.59667,70.83333,Indian ocean
5465593,6593,,Orbulina ,,universa,,,,,8,7,tow,1388,"1968,O445",18594,Oceanographer,15B & 15U,17/08/67,,,1,-2506,50,27,,,,,16,38,0,S,113,3,0,E,-16.63333,113.05,Indian ocean
5465594,6594,,Orbulina ,,universa,,,,,7,6,tow,1395,"1968,O446",18595,Oceanographer,16,17/08/67,,,1,-1590,50,27,,,,,18,23,0,S,113,22,0,E,-18.38333,113.36667,Indian ocean
5465596,6596,,Orbulina ,,universa,,,,,4,4,tow,1553,"1968,O463",18612,Oceanographer,16-Aug,18/08/67,,,1,-1590,50,27,,,,,18,23,0,S,113,23,0,E,-18.38333,113.38333,Indian ocean
5465646,6646,,Pulleniatina ,,obliquiloculata,,,,,13,,tow,1068,,18718,Anton Bruun (A.B.) cruise 2,137,10/07/63,,"Plankton tow, Be net",1,-4968,0-125,,,,,,14,50,0,S,79,56,0,E,-14.83333,79.93333,Indian ocean
5465647,6647,*,Pulleniatina ,,obliquiloculata,,,,,1,,tow,1096,,18720,Anton Bruun (A.B.) cruise 2,St. 144 ; no. 834,17/07/63,Slide: 17/07/1967,Plankton tow,1,-4379,500-1000,,,,,,4,18,0,N,80,8,0,E,4.3,80.13333,Indian ocean near coast
5465648,6648,,Pulleniatina ,,obliquiloculata,,,,,4,,tow,1100,,18719,Anton Bruun (A.B.) cruise 2,"Stn 139, no. 796",12/07/63,,Plankton tow,1,-5228,0-250,,,,,,8,37,0,S,79,34,0,E,-8.61667,79.56667,Indian ocean
5465649,6649,,Pulleniatina ,,obliquiloculata,,,,,11,,tow,1148,,18580,Oceanographer,B.P. 2U,30/06/67,Residue OBD: Sta 2B,,1,-2236,50,27,,,,,12,19,0,N,73,13,0,E,12.31667,73.21667,Indian ocean
5465651,6651,,Pulleniatina ,,obliquiloculata,,,,,3,,tow,1379,"1968,O443",18592,Oceanographer,13B & 13U,12/08/67,,,1,-1335,50,27,,,,,7,44,0,S,115,37,0,E,-7.73333,115.61667,Java sea
5465652,6652,,Pulleniatina ,,obliquiloculata,,,,,8,,tow,1389,"1968,O445",18594,Oceanographer,15B & 15U,17/08/67,,,1,-2506,50,27,,,,,16,38,0,S,113,3,0,E,-16.63333,113.05,Indian ocean
5465709,6709,,Globigerinella,,adamsi,,,,,2,1,tow,1092,,18720,Anton Bruun (A.B.) cruise 2,St. 144 ; no. 834,17/07/63,,Plankton tow,1,-4379,500-1000,,,,,,4,18,0,N,80,8,0,E,4.3,80.13333,Indian ocean near coast
5465710,6710,,Globigerinella,,adamsi,,,,,5,2,tow,1099,,18719,Anton Bruun (A.B.) cruise 2,"Stn 139, no. 796",12/07/63,,Plankton tow,1,-5228,0-250,,,,,,8,37,0,S,79,34,0,E,-8.61667,79.56667,Indian ocean
5465766,6766,,Hastigerina,,pelagica,,,,,1,,tow,1383,"1968,O444",18593,Oceanographer,14B & 14U,16/08/67,,Icita net,1,-5228,50,27,,,,,13,31,0,S,114,0,0,E,-13.51667,114,Indian ocean
5465767,6767,,Hastigerina,,pelagica,,,,,3,,tow,1397,"1968,O446",18595,Oceanographer,16,17/08/67,,,1,-1590,50,27,,,,,18,23,0,S,113,22,0,E,-18.38333,113.36667,Indian ocean
5465768,6768,,Hastigerina,,pelagica,,,,,2,,tow,1409,"1968,O448",18597,Oceanographer,18,19/08/67,,,1,-114,50,27,,,,,24,30,0,S,112,31,0,E,-24.5,112.51667,Indian ocean near coast
5465769,6769,,Hastigerina,,pelagica,,,,,1,,tow,1448,"1968,O460",18609,Oceanographer,13-May,12/08/67,,,1,-1335,50,27,,,,,7,44,0,S,115,37,0,E,-7.73333,115.61667,Java sea
5465770,6770,,Hastigerina,,pelagica,,,,,2,,tow,1522,"1968,O455",18604,Oceanographer,25B & 25U,23/08/67,,,1,-210,50,27,,,,,30,42,0,S,114,41,0,E,-30.7,114.68333,Indian ocean near coast
5465771,6771,,Hastigerina,,pelagica,,,,,1,,tow,1558,"1968,O463",18612,Oceanographer,16-Aug,18/08/67,,,1,-1590,50,27,,,,,18,23,0,S,113,23,0,E,-18.38333,113.38333,Indian ocean
,6771,,Globigerinella,,aequilateralis/siphonifera,,,,,1,,tow,1558,"1968,O463",18612,Oceanographer,16-Aug,18/08/67,,,1,-1590,50,27,,,,,18,23,0,S,113,23,0,E,-18.38333,113.38333,Indian ocean
5465821,6821,,Unknown forms,,various,,,,,11,,tow,1083,,18717,Anton Bruun (A.B.) cruise 1,Stn.97 no. 479,01/05/63,,Plankton tow,1,-3151,0-250,,,,,,13,8,0,N,86,12,0,E,13.13333,86.2,"Indian ocean, Bay of Bengal"
5465822,6822,,Unknown forms,,various,,,,,6,,tow,1079,,,Eltanin Cruise 24,no.1601,,,Plankton tow,1,-5376,0-200,,,,,,42,30,0,S,147,57,0,W,-42.5,-147.95,Pacific ocean
5465823,6823,,Unknown forms,,various,,,,,1,,tow,1105,,18719,Anton Bruun (A.B.) cruise 2,"Stn 139, no. 796",12/07/63,,Plankton tow,1,-5228,0-250,,,,,,8,37,0,S,79,34,0,E,-8.61667,79.56667,Indian ocean
